ViewGroup		微星PRO MP341CQ E12 34英寸准4K120Hz 内置音箱 1500R曲面显示器	checked=false	[42,2230][1398,2368]
ImageView		图片	checked=false	[42,2231][249,2291]
ImageView		图片	checked=false	[263,2231][487,2291]
TextView	微星PRO MP341CQ E12 34英寸准4K12		checked=false	[501,2230][1393,2292]
TextView	0Hz 内置音箱 1500R曲面显示器		checked=false	[42,2306][778,2368]
TextView	正品发票		checked=false	[792,2307][1010,2367]
View			checked=false	[0,2375][1440,2396]
FrameLayout			checked=false	[0,2396][1440,2484]
ViewGroup			checked=false	[0,2396][1440,2484]
ViewGroup			checked=false	[0,2396][1440,2484]
FrameLayout			checked=false	[0,2396][1440,2484]
FrameLayout			checked=false	[0,2403][1440,2484]
RecyclerView			checked=false	[0,2403][1440,2484]
ViewGroup			checked=false	[28,2403][323,2477]
ViewGroup			checked=false	[28,2403][323,2477]
ViewGroup			checked=false	[41,2403][322,2477]
ViewGroup			checked=false	[41,2411][322,2468]
FrameLayout			checked=false	[55,2411][308,2468]
TextView	1246人收藏		checked=false	[55,2411][308,2468]
ViewGroup			checked=false	[323,2403][561,2477]
ViewGroup			checked=false	[323,2403][561,2477]
ViewGroup			checked=false	[336,2403][560,2477]
ViewGroup			checked=false	[336,2411][560,2468]
FrameLayout			checked=false	[350,2411][546,2468]
TextView	店铺热销		checked=false	[350,2411][546,2468]
ViewGroup			checked=false	[561,2403][1191,2477]
ViewGroup			checked=false	[561,2403][1191,2477]
ViewGroup			checked=false	[574,2403][1190,2477]
ViewGroup			checked=false	[574,2411][1190,2468]
FrameLayout			checked=false	[588,2411][1176,2468]
TextView	该店连续半年入选百亿补贴		checked=false	[588,2411][1176,2468]
View			checked=false	[0,2484][1440,2512]
LinearLayout			checked=false	[0,2512][1440,2645]
ViewGroup		微星品牌官方正品，100%保障	checked=false	[0,2512][1440,2645]
ImageView			checked=false	[42,2512][1398,2645]
View			checked=false	[42,2512][1398,2645]
ImageView			checked=false	[70,2533][161,2624]
